Starting data and time	Monday 13 July 2020 (11:07:29)
Ending date and time	Monday 13 July 2020 (11:07:37)
Time consumed	0 hours, 0 minutes, and 7 seconds
Number of datasets	1
Total number of input genes	1608
Genes included in the analysis	1607
Genes filtered out from the analysis	1
Number of clusters	11
Total number of genes in clusters	1226
Genes not included in any cluster	381
Min cluster size	64
Max cluster size	205
Average cluster size	111.454545455
Number of samples (including replicates)	12
Number of conditions	3
